curso_academico,des_provincia_centro_sec,nota_media,nota_minima,percentil_25,percentil_50,percentil_75
2021-22,Ávila,11.09240336134454,5.504,10.363,11.497,12.342500000000001
2022-23,La Coruña,11.419995073891625,5.72,10.425,11.672,12.741
2022-23,Albacete,11.651849315068494,6.31,10.714,12.54,13.201
2022-23,Alicante,11.4082096069869,6.128,10.598,11.851,12.64
2022-23,Almería,12.120150326797386,5.291,11.365,12.645,13.362
2022-23,Asturias,11.762488888888889,5.88,10.898,12.282,13.098
2022-23,Badajoz,11.973064356435644,5.61,11.17275,12.517,13.14925
2022-23,Barcelona,10.042555555555555,5.732,8.7575,10.215,11.499
2022-23,Burgos,10.96776779026217,5.33,9.701,11.139,12.6575
2022-23,Cantabria,11.013020325203252,5.671,10.024999999999999,11.3275,12.740499999999999
2022-23,Castellón,11.193999999999999,6.392,9.736,11.556,12.85
2022-23,Ceuta,12.088615384615384,6.548,12.429,12.546,12.695
2022-23,Ciudad Real,11.5805,5.194,10.761,12.0505,12.96475
2022-23,Cuenca,10.98049,5.45,9.674,11.3505,12.508
2022-23,Cáceres,11.506395454545455,5.418,10.5975,11.823,12.951
2022-23,Cádiz,11.762874345549738,5.439,10.9505,12.349,13.312999999999999
2022-23,Córdoba,11.920164835164835,5.464,11.496500000000001,12.507,13.1965
2022-23,Gerona,11.080428571428572,7.372,10.042,11.533,12.524999999999999
2022-23,Granada,11.996396551724139,5.0,11.496500000000001,12.857,13.261
2022-23,Guadalajara,10.524613559322034,5.214,9.259,10.719,12.173
2022-23,Gipuzkoa,11.263438356164384,5.44,10.356,11.641,12.939
2022-23,Huelva,11.92130909090909,6.64,10.8,12.4,13.437
2022-23,Huesca,11.761584615384615,6.194,10.925,11.885,12.713
2022-23,Baleares,10.715616033755275,5.074,9.664,10.942,12.118
2022-23,Jaén,11.51079365079365,5.436,10.42775,11.919,12.907250000000001
2022-23,La Rioja,11.053295302013423,5.7,9.973,11.432,12.824
2022-23,Las Palmas,11.866085253456221,5.541,11.0975,12.318999999999999,13.087
2022-23,León,11.481306010928963,5.31,10.1865,11.941,12.981
2022-23,Lérida,10.732619047619048,8.08,9.164,10.588,12.142
2022-23,Lugo,11.807763636363637,8.0,10.734,12.314,13.14
2022-23,Madrid,10.601901054746358,5.0,9.423,10.805,12.037
2022-23,Melilla,11.185055555555557,6.813,10.0145,11.7805,12.731
2022-23,Murcia,11.923127208480565,5.231,11.041,12.306,13.179
2022-23,Málaga,11.922328519855595,5.525,11.091,12.401,13.162
2022-23,Navarra,10.490019736842106,5.206,9.3355,10.902000000000001,11.99725
2022-23,Orense,11.38637777777778,6.138,10.54,11.868,13.012
2022-23,Palencia,10.31689219330855,5.19,8.724,10.665,12.01
2022-23,Pontevedra,11.252450261780105,5.394,10.350999999999999,11.734,12.722
2022-23,Salamanca,11.575617647058824,6.92,10.55225,12.042,13.14825
2022-23,Santa Cruz de Tenerife,11.822393548387097,5.413,10.814,12.186,13.02025
2022-23,Segovia,10.326023201856147,5.353,8.751999999999999,10.643,12.086500000000001
2022-23,Sevilla,11.936313559322032,5.111,11.5855,12.583,13.24175
2022-23,Soria,10.690345679012346,6.08,9.032,11.227,12.208
2022-23,Tarragona,11.23442105263158,7.942,10.386,11.214,12.114
2022-23,Teruel,10.985,7.13,10.936250000000001,11.562000000000001,11.80425
2022-23,Toledo,11.060186023622046,5.286,10.02025,11.343499999999999,12.4855
2022-23,Valencia,10.884412844036698,5.293,9.873,11.37,12.284
2022-23,Valladolid,10.363138181818183,5.0,8.6875,10.546,12.213000000000001
2022-23,Bizkaia,11.012942028985508,5.148,9.461,11.706,12.596
2022-23,Zamora,10.966753424657535,6.15,9.279,11.504,12.849
2022-23,Zaragoza,10.824,5.185,9.74425,11.032,12.43825
2022-23,Álava,10.875333333333334,5.55,9.9115,11.233,12.504249999999999
2022-23,Ávila,10.93327906976744,5.989,9.44575,11.452,12.58525
2023-24,La Coruña,11.71731693989071,5.376,10.747,12.19,13.06
2023-24,Albacete,11.690597014925373,5.021,10.931,12.222,13.253
2023-24,Alicante,10.924061111111111,5.454,10.185749999999999,11.387,12.18
2023-24,Almería,11.878567567567567,6.599,10.866,12.296,13.1135
2023-24,Asturias,11.67698,5.702,10.89,12.027000000000001,13.211
2023-24,Badajoz,11.8222,5.392,10.885000000000002,12.382,13.154
2023-24,Barcelona,9.517012987012986,5.4,7.548,9.378,11.424
2023-24,Burgos,11.060390946502059,5.307,10.0155,11.416,12.544
2023-24,Cantabria,11.298710526315789,5.499,10.481,11.747499999999999,12.786
2023-24,Castellón,10.576878048780488,5.414,9.158,11.034,11.754
2023-24,Ceuta,12.078470588235295,10.134,10.72,12.173,13.41
2023-24,Ciudad Real,11.510772946859904,5.554,10.454,11.603,12.887
2023-24,Cuenca,11.494820754716981,7.056,10.371500000000001,11.8335,12.732
2023-24,Cáceres,11.646832558139534,6.777,10.477,11.978,13.104
2023-24,Cádiz,11.543622950819671,5.351,10.47075,11.982,13.07525
2023-24,Córdoba,11.571813333333333,6.276,10.6465,12.149,12.933
2023-24,Gerona,11.042380952380952,6.24,10.378,11.378,12.03
2023-24,Granada,11.899886075949366,5.91,11.142,12.434,13.2455
2023-24,Guadalajara,10.491375394321766,5.4,8.992,10.672,12.264
2023-24,Gipuzkoa,10.986692307692307,6.018,9.929,11.394,12.532
2023-24,Huelva,11.568052631578947,6.816,10.831,12.067,12.9
2023-24,Huesca,11.52168656716418,7.326,11.218499999999999,11.742,12.743
2023-24,Baleares,10.63539903846154,5.416,9.470500000000001,10.865,12.0565
2023-24,Jaén,11.243192307692308,6.649,10.213000000000001,11.329,12.628
2023-24,La Rioja,10.831682432432432,5.311,9.61,11.3555,12.4795
2023-24,Las Palmas,11.403267692307692,5.804,10.326,11.865,12.99
2023-24,León,11.357779761904762,5.726,10.373750000000001,12.201,12.89425
2023-24,Lérida,10.8614,6.24,9.062999999999999,11.167,12.791
2023-24,Lugo,11.138960784313726,6.052,9.37,11.778,13.104
2023-24,Madrid,10.64991986549631,5.0,9.476500000000001,10.869,12.125
2023-24,Melilla,12.427833333333334,9.328,12.1145,12.921,13.637500000000001
2023-24,Murcia,11.739880341880342,5.703,10.844,12.1675,13.01075
2023-24,Málaga,11.645916943521595,5.941,10.879,11.888,13.036
2023-24,Navarra,10.37049696969697,5.331,8.685,10.85,12.033
2023-24,Orense,11.6865625,7.24,10.5345,11.922,13.009500000000001
2023-24,Palencia,10.099036231884057,5.788,8.51675,10.229,11.74825
2023-24,Pontevedra,11.189088050314465,5.016,9.859,11.767,12.69
2023-24,Salamanca,11.027000000000001,6.021,9.786,11.282,12.807
2023-24,Santa Cruz de Tenerife,11.793682352941177,5.149,10.9485,12.013,12.9925
2023-24,Segovia,10.572900677200904,5.353,9.0795,10.752,12.2555
2023-24,Sevilla,11.555783018867924,5.2,10.775749999999999,12.092500000000001,13.11975
2023-24,Soria,10.289488505747126,5.128,8.6455,10.736,12.0525
2023-24,Tarragona,9.612,7.106,8.586500000000001,9.304,10.8265
2023-24,Teruel,11.404846153846155,6.974,9.896,12.758,13.193
2023-24,Toledo,11.079455020920502,5.201,9.8805,11.384,12.57625
2023-24,Valencia,10.732890243902439,5.54,9.087499999999999,11.2065,12.614
2023-24,Valladolid,10.177057815845824,5.097,8.573,10.224,11.866
2023-24,Bizkaia,10.3962,5.822,9.113,10.92,11.53
2023-24,Zamora,10.978535714285714,6.388,9.483,11.2365,12.43075
2023-24,Zaragoza,11.132536231884057,5.123,10.48975,11.719000000000001,12.591000000000001
2023-24,Álava,10.781791666666665,5.568,10.2025,11.465,12.60225
2023-24,Ávila,10.49482183908046,5.002,9.35125,10.769,11.874
2017-18,Global,9.689301363209534,5.0,8.103,9.732,11.289
2018-19,Global,9.632256882618819,5.0,8.13275,9.6765,11.181
2019-20,Global,9.66450837781231,5.0,8.08425,9.707,11.275
2020-21,Global,10.220128782001552,5.0,8.763,10.383,11.818
2021-22,Global,10.735326190251424,5.0,9.44,10.978,12.318
2022-23,Global,10.767342125141635,5.0,9.5455,11.014,12.29
2023-24,Global,10.7453368325961,5.0,9.52825,11.002,12.275
